CRRES EMIC wave events, their positions, and magnetospheric conditions
Data:
          orbit           year        yearday           xpos           ypos           zpos             ls            mlt           mlat     phase
            107           1990    250.8555603  18916.3828125  17225.7187500   1910.5843506      4.1026702      3.8392301     -6.5126400     quiet
            107           1990    250.8562469  18925.0410156  17438.0371094   1970.2270508      4.1277280      3.8611760     -6.4084482     quiet
            107           1990    250.8569489  18933.6992188  17650.3554688   2029.8698730      4.1527863      3.8831220     -6.3042560     quiet
            112           1990    253.1944427 -13521.2539062  18776.3339844   7559.8564453      3.9694300      9.2862396      9.9818802     quiet
            112           1990    253.1951447 -13560.9082031  18545.5097656   7499.1533203      3.9395840      9.3141317      9.9418344     quiet
            112           1990    253.1958313 -13600.5625000  18314.6855469   7438.4497070      3.9097381      9.3420238      9.9017878     quiet
            115           1990    254.2513885   9526.1074219  36993.2148438   9305.9218750      6.8621721      5.9471140     17.8381996     quiet
            115           1990    254.2520905   9433.7500000  37040.4531250   9333.9199219      6.8700562      5.9575620     17.8868008     quiet
            115           1990    254.2527771   9341.3916016  37087.6914062   9361.9169922      6.8779402      5.9680099     17.9354000     quiet
            115           1990    254.2534790   9247.9355469  37130.5703125   9388.8144531      6.8853064      5.9783821     17.9834404     quiet
            115           1990    254.2541656   9154.4794922  37173.4492188   9415.7109375      6.8926721      5.9887538     18.0314808     quiet
            115           1990    254.2548676   9061.0234375  37216.3320312   9442.6083984      6.9000382      5.9991260     18.0795193     quiet
            115           1990    254.2555542   8967.5673828  37259.2109375   9469.5048828      6.9074039      6.0094976     18.1275597     quiet
            115           1990    254.2562561   8874.1113281  37302.0898438   9496.4023438      6.9147701      6.0198698     18.1756001     quiet
            115           1990    254.2569427   8779.6220703  37340.6289062   9522.1933594      6.9217963      6.0301738     18.2230606     quiet
            115           1990    254.2590332   8496.1542969  37456.2382812   9599.5683594      6.9428740      6.0610862     18.3654404     quiet
            115           1990    254.2597198   8401.6650391  37494.7773438   9625.3593750      6.9499002      6.0713902     18.4129009     quiet
            115           1990    254.2604218   8306.2060547  37528.9843750   9650.0400391      6.9563160      6.0816340     18.4597816     quiet
            115           1990    254.2611084   8210.7470703  37563.1953125   9674.7207031      6.9627318      6.0918779     18.5066605     quiet
            115           1990    254.2687531   7150.8876953  37892.0234375   9933.8925781      7.0285182      6.2040362     19.0162792     quiet
            115           1990    254.2694397   7053.6718750  37917.6054688   9956.3310547      7.0339842      6.2141881     19.0620403     quiet
            115           1990    254.2701416   6956.4565430  37943.1875000   9978.7695312      7.0394502      6.2243400     19.1077995     quiet
            115           1990    254.2708282   6858.4521484  37964.4648438  10000.0761719      7.0443859      6.2344542     19.1529999     quiet
            115           1990    254.2743073   6367.6997070  38066.5585938  10105.4707031      7.0686960      6.2849998     19.3784389     quiet
            115           1990    254.2749939   6268.9648438  38083.5390625  10125.6376953      7.0732617      6.2950897     19.4230785     quiet
            115           1990    254.2756958   6170.2294922  38100.5156250  10145.8037109      7.0778279      6.3051801     19.4677200     quiet
            115           1990    254.2777710   5873.3505859  38147.1484375  10205.1552734      7.0909038      6.3354278     19.6010590     quiet
            115           1990    254.2784729   5773.9414062  38159.8281250  10224.1728516      7.0948477      6.3454957     19.6451187     quiet
            115           1990    254.2791595   5674.5327148  38172.5039062  10243.1914062      7.0987921      6.3555641     19.6891804     quiet
